epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0969,0.45134,2.84028,1.00498,0.00466,1,0.82416,0.61631,0.26956,2.97911,0.82841,1.667e-05,1.667e-05,1.667e-05
2,91.6748,0.45837,2.74632,1.03178,0.00483,1,0.95108,0.85571,0.20755,2.94528,0.76325,4.95149e-05,4.95149e-05,4.95149e-05
3,122.554,0.33902,2.54105,0.93858,0.00499,1,0.9902,0.97717,0.20644,2.91136,0.74178,8.16997e-05,8.16997e-05,8.16997e-05
4,153.358,0.38986,2.21639,0.95397,0.00521,1,0.9934,0.98355,0.20023,2.81685,0.73551,0.000113224,0.000113224,0.000113224
5,185.62,0.31408,1.82561,0.97108,0.00565,1,0.995,0.97628,0.22252,2.60634,0.74017,0.000144089,0.000144089,0.000144089
6,217.802,0.45886,1.4883,1.04542,0.00652,1,0.995,0.95929,0.24655,2.33333,0.74908,0.000174293,0.000174293,0.000174293
7,236.536,0.34014,1.10706,0.95998,1,0.64276,0.995,0.95712,0.28446,2.22563,0.78663,0.000203837,0.000203837,0.000203837
8,254.127,0.33877,0.9769,0.95886,1,0.41472,0.995,0.95041,0.30339,2.30411,0.77264,0.000232722,0.000232722,0.000232722
9,272.307,0.46286,1.00634,1.05607,1,0.44534,0.995,0.95602,0.28748,2.324,0.78124,0.000260946,0.000260946,0.000260946
10,289.645,0.41002,0.89621,0.94064,1,0.69976,0.995,0.96125,0.31587,2.26499,0.79256,0.000288509,0.000288509,0.000288509
11,307.678,0.39415,0.87499,0.94654,1,0.90278,0.995,0.94214,0.3246,2.15746,0.79948,0.000315413,0.000315413,0.000315413
12,325.048,0.41028,0.88874,0.96351,0.99439,1,0.995,0.96901,0.26537,1.98891,0.76672,0.000341657,0.000341657,0.000341657
13,342.989,0.34994,0.82203,0.88381,0.98944,1,0.995,0.98036,0.25445,1.72318,0.7474,0.00036724,0.00036724,0.00036724
14,360.879,0.51963,0.90571,1.11755,0.99346,1,0.995,0.95864,0.28192,1.61589,0.75456,0.000392163,0.000392163,0.000392163
15,379.342,0.43994,0.84213,0.9817,0.99629,1,0.995,0.95006,0.27913,1.72548,0.76397,0.000416427,0.000416427,0.000416427
16,397.933,0.39628,0.79211,0.93752,0.99371,1,0.995,0.94536,0.3375,1.49886,0.78743,0.00044003,0.00044003,0.00044003
17,418.941,0.44404,0.89305,1.01139,0.99774,1,0.995,0.92198,0.37248,1.06854,0.81588,0.000462973,0.000462973,0.000462973
18,436.358,0.33553,0.74805,0.92258,0.99767,1,0.995,0.9503,0.28892,0.95682,0.76901,0.000485255,0.000485255,0.000485255
19,455.504,0.40424,0.83712,0.97501,0.99738,1,0.995,0.96856,0.27969,1.08984,0.75293,0.000506878,0.000506878,0.000506878
20,473.328,0.43642,0.77825,0.95163,0.99628,1,0.995,0.97579,0.24705,1.32543,0.73653,0.000527841,0.000527841,0.000527841
21,491.065,0.45689,0.84859,1.0061,0.99654,1,0.995,0.98011,0.25726,1.18914,0.74071,0.000548143,0.000548143,0.000548143
